HCR#,,As Of Date,Contract Origin (and Admin Official),,,Contract Destination,,,,,
1005,1,3229,CONTOOCOOK,13:20:00 ET,15 min,13:35:00 ET,24LG,K67,251,12/06/2024 06/30/2026,
1005,2,3278,WARNER,13:51:00 ET,9 min,14:00:00 ET,,,,,
1005,3,3221,BRADFORD,14:16:00 ET,9 min,14:25:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
1005,4,3255,NEWBURY,14:41:00 ET,6 min,14:47:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.4,1.45?,?,?,0.8,,,,,
1006,1,3255,NEWBURY,14:47:00 ET,15 min,15:02:00 ET,24LG,K67,251,12/06/2024 06/30/2026,
1006,2,3229,CONTOOCOOK,15:50:00 ET,15 min,16:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.5,1.30?,?,?,0.8,,,,,
1007,1,3229,CONTOOCOOK,16:05:00 ET,15 min,16:20:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
1007,2,3255,NEWBURY,16:44:00 ET,9 min,16:53:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.5,0.80?,?,?,0.4,,,,,
1008,1,3255,NEWBURY,16:54:00 ET,6 min,17:00:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
1008,2,3221,BRADFORD,17:11:00 ET,9 min,17:20:00 ET,,,,,
1008,3,3278,WARNER,17:34:00 ET,9 min,17:43:00 ET,,,,,
1008,4,3229,CONTOOCOOK,17:53:00 ET,15 min,18:08:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.6,1.23?,?,?,0.58,,,,,
1025,1,3431,KEENE,05:15:00 ET,15 min,05:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
1025,2,3446,SWANZEY,05:37:00 ET,9 min,05:46:00 ET,,,,,
1025,3,3470,WINCHESTER,06:03:00 ET,9 min,06:12:00 ET,,,,,
1025,4,3451,HINSDALE,06:22:00 ET,6 min,06:28:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,22.4,1.22?,?,?,0.57,,,,,
1026,1,3451,HINSDALE,06:28:00 ET,6 min,06:34:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
1026,2,3431,KEENE,07:00:00 ET,15 min,07:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.1,0.78?,?,?,0.43,,,,,
1027,1,3431,KEENE,07:16:00 ET,15 min,07:31:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
1027,2,3446,SWANZEY,07:35:00 ET,9 min,07:44:00 ET,,,,,
1027,3,3469,WEST SWANZEY,07:52:00 ET,9 min,08:01:00 ET,,,,,
1027,4,3470,WINCHESTER,08:10:00 ET,9 min,08:19:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
1027,5,3451,HINSDALE,08:29:00 ET,9 min,08:38:00 ET,,,,,
1027,6,3441,ASHUELOT,08:43:00 ET,9 min,08:52:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26,1.60?,?,?,0.6,,,,,
1028,1,3441,ASHUELOT,08:53:00 ET,6 min,08:59:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
1028,2,3431,KEENE,09:25:00 ET,15 min,09:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,0.78?,?,?,0.43,,,,,
1029,1,3431,KEENE,09:40:00 ET,15 min,09:55:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
1029,2,3465,TROY,10:12:00 ET,9 min,10:21:00 ET,,,,,
1029,3,3455,MARLBOROUGH,10:33:00 ET,9 min,10:42:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.8,1.03?,?,?,0.48,,,,,
1030,1,3455,MARLBOROUGH,10:43:00 ET,6 min,10:49:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
1030,2,3431,KEENE,10:56:00 ET,15 min,11:11:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,4.3,0.47?,?,?,0.12,,,,,
1031,1,3431,KEENE,12:00:00 ET,15 min,12:15:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
1031,2,3451,HINSDALE,12:49:00 ET,6 min,12:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.5,0.92?,?,?,0.57,,,,,
1032,1,3451,HINSDALE,12:56:00 ET,9 min,13:05:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
1032,2,3441,ASHUELOT,13:29:00 ET,9 min,13:38:00 ET,,,,,
1032,3,3470,WINCHESTER,13:45:00 ET,9 min,13:54:00 ET,,,,,
1032,4,3446,SWANZEY,14:13:00 ET,9 min,14:22:00 ET,,,,,
1032,5,3431,KEENE,14:35:00 ET,15 min,14:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.7,1.90?,?,?,1.05,,,,,
1033,1,3431,KEENE,15:30:00 ET,15 min,15:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
1033,2,3469,WEST SWANZEY,15:54:00 ET,9 min,16:03:00 ET,,,,,
1033,3,3451,HINSDALE,16:22:00 ET,9 min,16:31:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,20,1.02?,?,?,0.47,,,,,
1034,1,3451,HINSDALE,16:32:00 ET,9 min,16:41:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
1034,2,3441,ASHUELOT,16:48:00 ET,9 min,16:57:00 ET,,,,,
1034,3,3470,WINCHESTER,17:13:00 ET,9 min,17:22:00 ET,,,,,
1034,4,3446,SWANZEY,17:41:00 ET,9 min,17:50:00 ET,,,,,
1034,5,3431,KEENE,18:00:00 ET,15 min,18:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.7,1.72?,?,?,0.87,,,,,
1035,1,3458,PETERBOROUGH,06:35:00 ET,15 min,06:50:00 ET,22LG,K7,303,12/06/2024 06/30/2026,
1035,2,3440,ANTRIM,07:10:00 ET,9 min,07:19:00 ET,,,,,
1035,3,3449,HANCOCK,07:29:00 ET,9 min,07:38:00 ET,,,,,
1035,4,3468,WEST PETERBOROUGH,07:55:00 ET,6 min,08:01:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,29.1,1.43?,?,?,0.78,,,,,
1036,1,3468,WEST PETERBOROUGH,08:01:00 ET,6 min,08:07:00 ET,22LG,K7,303,12/06/2024 06/30/2026,
1036,2,3458,PETERBOROUGH,08:15:00 ET,15 min,08:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1.7,0.48?,?,?,0.13,,,,,
1037,1,3458,PETERBOROUGH,15:45:00 ET,15 min,16:00:00 ET,22LG,K7,303,12/06/2024 06/30/2026,
1037,2,3440,ANTRIM,16:29:00 ET,9 min,16:38:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,12.3,0.88?,?,?,0.48,,,,,
1038,1,3440,ANTRIM,16:39:00 ET,6 min,16:45:00 ET,22LG,K7,303,12/06/2024 06/30/2026,
1038,2,3449,HANCOCK,16:49:00 ET,9 min,16:58:00 ET,,,,,
1038,3,3468,WEST PETERBOROUGH,17:12:00 ET,9 min,17:21:00 ET,,,,,
1038,4,3458,PETERBOROUGH,17:30:00 ET,15 min,17:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.5,1.10?,?,?,0.45,,,,,
Reference Information,,,,,,,,,,,
Frequency Code - Number,Frequency Description
1X - 68,Mondays except Monday holidays.
K7 - 3,Daily except Sundays and holidays.
"C13 - 3,908",Mondays and Wednesdays. Will also operate on the days after holidays.
K67 - 8,"Daily except Saturdays, Sundays and holidays."
9 - 608,Sundays and holidays except Christmas Day and New Year's Day.
6X - 14,Saturdays except Saturday holidays.
QQ - 358,Daily except January 1 and December 25.
235X - 922,"Tuesdays, Wednesdays, and Fridays except holidays."
14X - 647,Mondays and Thursdays except Monday and Thursday holidays.
K17 - 7,"Daily except Sundays, Mondays and holidays."
DAIL - 1,Daily
X7 - 325,Daily except Sundays.
K167 - 244,"Daily except Saturdays, Sundays, Mondays and holidays."
QQ6 - 668,"Daily Except Saturdays, Christmas Day and New Year's Day."
Q67 - 402,"Daily except Saturday, Sunday and holidays other than Martin Luther King Jr.'s Birthday, Presidents' Day, Juneteenth "
,"Day, Columbus Day and Veterans Day."
L127 - 907,"Daily except Mondays, Tuesdays, Sundays, and days after holidays."
L1 - 4,Daily except Mondays and days after holidays.
6 - 107,Saturdays
"C14 - 3,912",Mondays and Thursdays. Will also operate on the days after holidays.
B7 - 13,Sundays and holidays.
C1 - 176,Mondays and days after holidays.
CC6 - 401,"Saturdays and the following holidays only: Martin Luther King Jr.'s Birthday, Presidents' Day, Juneteenth Day, Columbus "
,Day and Veterans Day.
Vehicle Code,Vehicle Requirements,,,,,
45FT,45ft tractor-trailer,,,,,
24VN,24ft straight body/box truck,,,,,
24LG,24ft straight body/box truck w liftgate,,,,,
22LG,22ft straight body/box truck w liftgate,,,,,
26LG,26ft straight body/box truck,,,,,
53FT,53ft tractor-trailer,,,,,
40FT,40ft tractor-trailer,,,,,
26VN,26ft straight body/box truck w liftgate,,,,,
NASS CODE,Facility,Address,Zip,City,State,Phone
30,MANCHESTER,955 GOFFS FALLS RD ,31039997,MANCHESTER,NH,
,,STE 997,,,,
030PM,NASHUA,10 CELINA AVE,30639997,NASHUA,NH,6035792142
3060,NASHUA,38 SPRING ST,30609998,NASHUA,NH,
3051,HUDSON,35 EXECUTIVE DR,30519997,HUDSON,NH,
3079,SALEM,51 S BROADWAY,30793008,SALEM,NH,
3229,CONTOOCOOK,129 PARK AVE,32299998,CONTOOCOOK,NH,
3278,WARNER,36 E MAIN ST,32789998,WARNER,NH,
3221,BRADFORD,2219 STATE ROUTE 114,32219998,BRADFORD,NH,
3255,NEWBURY,976 ROUTE 103,32559998,NEWBURY,NH,
3431,KEENE,196 MAIN ST,34319998,KEENE,NH,
3446,SWANZEY,486 OLD HOMESTEAD ,34469998,SWANZEY,NH,
,,HWY,,,,
3470,WINCHESTER,11 RICHMOND RD,34709998,WINCHESTER,NH,
3451,HINSDALE,13 MAIN ST,34519998,HINSDALE,NH,
NASS CODE,Facility,Address,Zip,City,State,Phone
3469,WEST SWANZEY,769 W SWANZEY RD,34699998,WEST SWANZEY,NH,
3441,ASHUELOT,8 ASHUELOT MAIN ST,34419998,ASHUELOT,NH,
3465,TROY,7 MARLBORO RD STE F,34659998,TROY,NH,
3455,MARLBOROUGH,136 MAIN ST,34559998,MARLBOROUGH,NH,
3038,DERRY,24 TSIENNETO RD,30381599,DERRY,NH,
3458,PETERBOROUGH,23 GROVE ST,34589998,PETERBOROUGH,NH,
3440,ANTRIM,1 POST RD,34409998,ANTRIM,NH,
3449,HANCOCK,59 MAIN ST,34499998,HANCOCK,NH,
3468,WEST PETERBOROUGH,301 UNION ST UNIT C,34689998,WEST PETERBOROU,NH,
3053,LONDONDERRY,86 NASHUA RD,30539998,LONDONDERRY,NH,
3036,CHESTER,5 CHESTER ST,30369998,CHESTER,NH,
3041,EAST DERRY,50 E DERRY RD,30419998,EAST DERRY,NH,
3073,NORTH SALEM,112 E BROADWAY,30739998,NORTH SALEM,NH,
3087,WINDHAM,44 INDIAN ROCK RD,30879998,WINDHAM,NH,
3076,PELHAM,150 BRIDGE ST,30769998,PELHAM,NH,
031PS,MANCHESTER SOUTH,7 PERIMETER RD STE 2,31033343,MANCHESTER,NH,6036260007
030NE,NORTHEAST 3PL,20 N WENTWORTH AVE,30537438,LONDONDERRY,NH,6032351954
030HS,HUDSON MALL,77 DERRY ST STE 13,30513798,HUDSON,NH,
3045,GOFFSTOWN,11 CHURCH ST STE 1,30459998,GOFFSTOWN,NH,
030AB,MANCHESTER WEST,10 LANCE LN,30459719,GOFFSTOWN,NH,
3070,NEW BOSTON,71 MONT VERNON RD,30709998,NEW BOSTON,NH,
NASS CODE,Facility,Address,Zip,City,State,Phone
3043,FRANCESTOWN,158 2ND NH TPKE S,30439998,FRANCESTOWN,NH,
3047,GREENFIELD,75 SLIP RD,30479998,GREENFIELD,NH,
030HE,HOBBY FULFILLMENT,140 HAYWARD ST,31036201,MANCHESTER,NH,6033051590
3101,DOWNTOWN,1000 ELM ST STE ,31019715,MANCHESTER,NH,
,,15104,,,,
3031,AMHERST,199 STATE ROUTE 101 ,30319998,AMHERST,NH,
,,UNIT 4D,,,,
3049,HOLLIS,5 HUTCHINGS DR STE ,30499998,HOLLIS,NH,
,,100,,,,
030MD,MILFORD,14 CAPRON RD,30559997,MILFORD,NH,
3086,WILTON,79 MAIN ST,30869998,WILTON,NH,
3082,LYNDEBOROUGH,36 FOREST RD,30829998,LYNDEBOROUGH,NH,
3054,MERRIMACK,510 DANIEL WEBSTER ,30549998,MERRIMACK,NH,
,,HWY,,,,
3055,MILFORD,12 MONT VERNON ST,30559998,MILFORD,NH,
030AI,ATLANTIC INNOVATIONS,6 COLUMBIA DR,30312343,AMHERST,NH,6038202754
3033,BROOKLINE,2 POST OFFICE DR,30339998,BROOKLINE,NH,
030SS,SPORT STOP,86 ROUTE 13,30332528,BROOKLINE,NH,8003354570
3048,GREENVILLE,15 MAIN ST,30489998,GREENVILLE,NH,
3071,NEW IPSWICH,802 TURNPIKE RD,30719998,NEW IPSWICH,NH,
3084,TEMPLE,19 MAIN ST UNIT 3,30849998,TEMPLE,NH,
033DM,CONCORD ANNEX,22 CHENELL DR,33019997,CONCORD,NH,6032255537
030NA,REGIONAL HOME CARE,2 HARVEY RD,31106805,BEDFORD,NH,6038975929
030LG,LIFE IS GOOD,48 FRIARS DR,30514900,HUDSON,NH,
3032,AUBURN,61 RAYMOND RD,30329998,AUBURN,NH,
3034,CANDIA,115 RAYMOND RD,30342135,CANDIA,NH,
NASS CODE,Facility,Address,Zip,City,State,Phone
3077,RAYMOND,15 FREETOWN RD STE 1,30779998,RAYMOND,NH,
3257,NEW LONDON,319 NEWPORT RD,32579998,NEW LONDON,NH,
3824,DURHAM,2 MADBURY RD,38249998,DURHAM,NH,
3857,NEWMARKET,126 MAIN ST,38571643,NEWMARKET,NH,
3234,EPSOM,948 SUNCOOK VALLEY ,32349998,EPSOM,NH,
,,HWY,,,,
3263,PITTSFIELD,2 ELM ST,32639998,PITTSFIELD,NH,
3225,CENTER BARNSTEAD,55 S BARNSTEAD RD,32259998,CENTER BARNSTEA,NH,
3218,BARNSTEAD,335 PARADE RD,32189998,BARNSTEAD,NH,
3281,WEARE,8 DUCK POND RD,32819998,WEARE,NH,
3242,HENNIKER,10 POST OFFICE PL,32429998,HENNIKER,NH,
3244,HILLSBOROUGH,11 CENTRAL ST,32449998,HILLSBOROUGH,NH,
3280,WASHINGTON,173 N MAIN ST,32809998,WASHINGTON,NH,
3042,EPPING,71 MAIN ST,30429998,EPPING,NH,
3290,NOTTINGHAM,106 STAGE RD,32909998,NOTTINGHAM,NH,
3291,WEST NOTTINGHAM,368 STAGE RD UNIT 2,32919998,WEST NOTTINGHAM,NH,
3037,DEERFIELD,17A RAYMOND RD,30379998,DEERFIELD,NH,
3261,NORTHWOOD,6 TASKER SHORE DR,32619998,NORTHWOOD,NH,
3452,JAFFREY,30 TURNPIKE RD,34529998,JAFFREY,NH,
3444,DUBLIN,1251 MAIN ST,34449998,DUBLIN,NH,
3450,HARRISVILLE,29 CHURCH ST SIDE,34509998,HARRISVILLE,NH,
3461,RINDGE,1056 NH ROUTE 119,34619998,RINDGE,NH,
NASS CODE,Facility,Address,Zip,City,State,Phone
3447,FITZWILLIAM,30 NH ROUTE 12 S,34479998,FITZWILLIAM,NH,
034DC,DOUGLAS CUDDLE TOYS,69 KRIF RD,34314718,KEENE,NH,
3044,FREMONT,51 BEEDE HILL RD,30449998,FREMONT,NH,
3856,NEWFIELDS,6 MAIN ST,38569998,NEWFIELDS,NH,
3854,NEW CASTLE,73 MAIN ST,38549998,NEW CASTLE,NH,
3871,RYE BEACH,830 CENTRAL RD,38719998,RYE BEACH,NH,
3844,HAMPTON FALLS,2 EXETER RD,38442044,HAMPTON FALLS,NH,
038CS,COED SPORTSWEAR,27 PLEASANT ST STE 2,38568320,NEWFIELDS,NH,
3833,EXETER,34 FRONT ST,38332782,EXETER,NH,
3801,PORTSMOUTH,345 HERITAGE AVE ,38019995,PORTSMOUTH,NH,
,,UNIT 100,,,,
3848,KINGSTON,53 CHURCH ST,38489998,KINGSTON,NH,
3885,STRATHAM,2 COLLEGE RD,38859998,STRATHAM,NH,
3840,GREENLAND,609 PORTSMOUTH AVE,38409998,GREENLAND,NH,
038PP,PASSPORT CENTER - ,31 ROCHESTER AVE,38012912,PORTSMOUTH,NH,
,PORTSMOUTH,,,,,
3867,ROCHESTER,20 ALLEN ST,38679998,ROCHESTER,NH,
3820,DOVER,133 WASHINGTON ST,38203707,DOVER,NH,
3878,SOMERSWORTH,2 GOVERNMENT WAY,38783249,SOMERSWORTH,NH,
3869,ROLLINSFORD,664 MAIN ST,38699998,ROLLINSFORD,NH,
3884,STRAFFORD,1079 PARKER MOUNTAIN ,38849998,STRAFFORD,NH,
,,RD,,,,
3825,BARRINGTON,15 MALLEGO RD,38259998,BARRINGTON,NH,
038LM,LIBERTY MUTUAL,50 LIBERTY WAY,38209309,DOVER,NH,9165641792
3822,LIBERTY MUTUAL,100 LIBERTY WAY,38204597,DOVER,NH,
NASS CODE,Facility,Address,Zip,City,State,Phone
3827,EAST KINGSTON,176 HAVERHILL RD,38279998,EAST KINGSTON,NH,
3858,NEWTON,77 S MAIN ST,38583723,NEWTON,NH,
3859,NEWTON JUNCTION,9 W MAIN ST,38599998,NEWTON JUNCTION,NH,
3870,RYE,301 CENTRAL RD,38709998,RYE,NH,
3862,NORTH HAMPTON,44 LAFAYETTE RD,38629998,NORTH HAMPTON,NH,
3842,HAMPTON,25 STICKNEY TER,38421963,HAMPTON,NH,
3874,SEABROOK,19 MAIN ST,38749998,SEABROOK,NH,
3841,HAMPSTEAD,212 MAIN ST,38419998,HAMPSTEAD,NH,
3865,PLAISTOW,38 MAIN ST,38659998,PLAISTOW,NH,
3811,ATKINSON,9 MAIN ST,38119998,ATKINSON,NH,
3826,EAST HAMPSTEAD,59 COLBY COR,38269998,EAST HAMPSTEAD,NH,
3819,DANVILLE,5 PINE ST,38199998,DANVILLE,NH,
3873,SANDOWN,345 MAIN ST,38739998,SANDOWN,NH,
3106,HOOKSETT,1328 HOOKSETT RD STE ,31069716,HOOKSETT,NH,
,,45,,,,
3275,SUNCOOK,55 GLASS ST,32751533,PEMBROKE,NH,
3835,FARMINGTON,14 PLEASANT ST,38359998,FARMINGTON,NH,
3855,NEW DURHAM,7 DEPOT RD STE 1,38559998,NEW DURHAM,NH,
3809,ALTON,9 SCHOOL ST,38099998,ALTON,NH,
3851,MILTON,851 WHITE MOUNTAIN ,38514667,MILTON,NH,
,,HWY,,,,
3810,ALTON BAY,5 MOUNT MAJOR HWY ,38109998,ALTON BAY,NH,
,,UNIT 1,,,,
3887,UNION,402 MAIN ST,38879998,UNION,NH,
NASS CODE,Facility,Address,Zip,City,State,Phone
3301,CONCORD,18 LOUDON RD,33019998,CONCORD,NH,
3303,PENACOOK,15 VILLAGE ST STE 4,33039997,CONCORD,NH,
MHTFX,MHT FEDEX (28 ,28 PERIMETER RD,30532033,LONDONDERRY,NH,
,PERIMETER),,,,,
033PP,PENNY PUBLICATIONS,570 ROUTE 106 N,33071127,LOUDON,NH,6037839998
